Name,Age,Overall,Club,Position,Crossing,ShortPassing,Dribbling,LongPassing,BallControl,Acceleration,SprintSpeed,ShotPower,Stamina,Strength,LongShots,Interceptions,Positioning,Penalties,StandingTackle,SlidingTackle,Best Overall Rating,DefensiveAwareness
21 D. Alar,30,66,SK Rapid Wien,SUB,59.0,62.0,64.0,60.0,66.0,65.0,66.0,69.0,67.0,70.0,64.0,32.0,72.0,64.0,28.0,23.0,66.0,27.0
J. Mateta,24,75,Crystal Palace,SUB,39.0,65.0,74.0,41.0,73.0,59.0,77.0,75.0,65.0,86.0,63.0,22.0,75.0,72.0,31.0,22.0,77.0,29.0
21 A. Rodríguez,24,64,Newell's Old Boys,RW,53.0,64.0,68.0,58.0,70.0,73.0,74.0,67.0,59.0,54.0,60.0,48.0,68.0,49.0,53.0,48.0,69.0,43.0
M. Hilßner,26,63,Coventry City,RES,64.0,61.0,64.0,64.0,61.0,59.0,64.0,75.0,34.0,72.0,67.0,47.0,62.0,56.0,50.0,44.0,64.0,53.0
J. Powell,27,63,Crawley Town,RM,61.0,64.0,62.0,65.0,63.0,59.0,65.0,61.0,87.0,61.0,58.0,54.0,59.0,52.0,58.0,52.0,64.0,55.0
G. Giorbelidze,25,67,SG Dynamo Dresden,SUB,65.0,64.0,66.0,57.0,64.0,76.0,74.0,54.0,72.0,63.0,46.0,64.0,58.0,34.0,65.0,64.0,68.0,67.0
K. Watanabe,22,65,Yokohama F. Marinos,SUB,53.0,70.0,67.0,69.0,70.0,71.0,56.0,56.0,64.0,40.0,63.0,51.0,55.0,49.0,59.0,54.0,67.0,54.0
L. Amos,24,67,Queens Park Rangers,SUB,57.0,71.0,65.0,71.0,67.0,57.0,58.0,57.0,66.0,57.0,62.0,65.0,50.0,45.0,68.0,64.0,68.0,62.0
V. Mykolenko,22,76,Dynamo Kyiv,LB,76.0,72.0,54.0,55.0,66.0,77.0,78.0,47.0,78.0,57.0,49.0,72.0,41.0,35.0,73.0,76.0,76.0,76.0
S. Okaka,31,75,İstanbul Başakşehir FK,ST,53.0,70.0,71.0,42.0,76.0,55.0,70.0,81.0,64.0,93.0,67.0,21.0,79.0,66.0,25.0,20.0,75.0,29.0
A. Zendejas,23,68,Club Necaxa,LM,65.0,69.0,73.0,65.0,69.0,75.0,76.0,60.0,67.0,67.0,42.0,40.0,67.0,60.0,40.0,41.0,69.0,37.0
H. Paton,23,62,Ross County FC,SUB,54.0,65.0,65.0,61.0,63.0,72.0,71.0,60.0,74.0,54.0,60.0,51.0,59.0,51.0,57.0,56.0,65.0,52.0
Guitián,30,71,Club Bolívar,RCB,35.0,73.0,58.0,66.0,63.0,64.0,68.0,59.0,73.0,80.0,37.0,72.0,52.0,30.0,70.0,68.0,71.0,70.0
J. Jones,25,64,Wrexham AFC,RCM,58.0,65.0,61.0,65.0,64.0,68.0,67.0,57.0,79.0,66.0,62.0,54.0,58.0,60.0,58.0,49.0,66.0,53.0
Tiago Dantas,20,66,CD Tondela,SUB,63.0,72.0,71.0,68.0,71.0,73.0,67.0,61.0,63.0,31.0,39.0,45.0,65.0,64.0,40.0,39.0,70.0,40.0
21 O. Niasse,30,71,Huddersfield Town,RES,56.0,62.0,70.0,35.0,69.0,74.0,68.0,76.0,67.0,72.0,69.0,35.0,73.0,67.0,23.0,24.0,71.0,19.0
21 W. Routledge,35,68,Swansea City,SUB,69.0,68.0,70.0,66.0,73.0,66.0,64.0,68.0,47.0,58.0,55.0,39.0,68.0,63.0,37.0,46.0,68.0,43.0
J. El Yamiq,29,73,Real Valladolid CF,SUB,35.0,63.0,55.0,66.0,60.0,74.0,67.0,67.0,73.0,82.0,52.0,75.0,35.0,41.0,71.0,68.0,74.0,72.0
Rodrigo Muniz,20,68,Fulham,SUB,46.0,61.0,65.0,52.0,68.0,71.0,73.0,73.0,65.0,76.0,65.0,32.0,69.0,65.0,28.0,26.0,70.0,30.0
D. Gardner,31,63,Doncaster Rovers,SUB,62.0,64.0,62.0,59.0,63.0,66.0,64.0,64.0,67.0,67.0,62.0,50.0,60.0,62.0,54.0,51.0,63.0,52.0
D. Ginczek,30,73,VfL Wolfsburg,RES,31.0,64.0,67.0,37.0,70.0,54.0,73.0,82.0,52.0,87.0,66.0,29.0,75.0,76.0,45.0,19.0,73.0,30.0
20 K. Karami,29,65,Sparta Rotterdam,SUB,58.0,62.0,69.0,56.0,67.0,75.0,74.0,57.0,71.0,64.0,46.0,66.0,58.0,41.0,62.0,64.0,65.0,62.0
J. Pereyra Díaz,30,69,Kerala Blasters FC,RM,68.0,64.0,69.0,58.0,75.0,77.0,75.0,49.0,75.0,62.0,60.0,59.0,69.0,44.0,53.0,48.0,69.0,41.0
A. Buksa,24,72,New England Revolution,RS,47.0,64.0,68.0,44.0,71.0,66.0,70.0,74.0,75.0,80.0,61.0,24.0,75.0,67.0,23.0,21.0,74.0,31.0
L. Abada,19,70,Celtic,RW,65.0,66.0,74.0,58.0,72.0,78.0,77.0,71.0,70.0,58.0,66.0,22.0,64.0,52.0,34.0,35.0,71.0,39.0
B. Nastić,26,67,Jagiellonia Białystok,LM,66.0,64.0,59.0,65.0,63.0,70.0,72.0,66.0,74.0,72.0,50.0,63.0,53.0,37.0,64.0,63.0,67.0,63.0
O. Lund,30,67,Aarhus GF,RWB,66.0,62.0,60.0,57.0,65.0,70.0,72.0,36.0,80.0,75.0,40.0,57.0,56.0,36.0,67.0,65.0,67.0,60.0
P. Pušić,22,68,Grasshopper Club Zürich,RW,65.0,61.0,69.0,58.0,69.0,81.0,79.0,60.0,80.0,45.0,50.0,45.0,63.0,45.0,57.0,55.0,69.0,30.0
Manu Sánchez,20,73,CA Osasuna,SUB,68.0,70.0,66.0,53.0,72.0,72.0,70.0,50.0,74.0,54.0,41.0,72.0,56.0,38.0,75.0,73.0,73.0,67.0
M. O'Riley,20,66,Milton Keynes Dons,RCM,60.0,67.0,66.0,66.0,67.0,59.0,61.0,62.0,75.0,59.0,61.0,59.0,63.0,45.0,60.0,54.0,68.0,60.0
17 M. Pérez Guedes,24,68,Club Olimpo,SUB,64.0,65.0,68.0,64.0,65.0,84.0,81.0,69.0,90.0,65.0,53.0,27.0,58.0,62.0,30.0,28.0,67.0,
N. Zanellato,23,63,Crotone,LCM,61.0,70.0,70.0,66.0,69.0,66.0,60.0,62.0,52.0,61.0,62.0,55.0,55.0,59.0,63.0,61.0,65.0,47.0
18 D. N'Gog,28,68,Ross County FC,SUB,62.0,66.0,69.0,64.0,70.0,65.0,66.0,66.0,63.0,70.0,62.0,37.0,69.0,67.0,34.0,28.0,68.0,
21 D. Rose,32,62,Grimsby Town,SUB,55.0,65.0,55.0,61.0,61.0,50.0,51.0,60.0,73.0,63.0,59.0,61.0,57.0,56.0,59.0,57.0,62.0,60.0
K. Yılmaz,19,60,Beşiktaş JK,SUB,58.0,66.0,62.0,65.0,63.0,66.0,67.0,62.0,64.0,63.0,56.0,60.0,37.0,53.0,64.0,61.0,65.0,62.0
T. Ndicka Matam,21,65,KV Oostende,LM,61.0,60.0,68.0,56.0,68.0,79.0,72.0,63.0,62.0,60.0,58.0,58.0,51.0,48.0,64.0,65.0,65.0,58.0
21 Sim Sang Min,27,67,Sangju Sangmu FC,LB,67.0,63.0,67.0,57.0,64.0,75.0,71.0,43.0,72.0,69.0,47.0,67.0,67.0,39.0,62.0,62.0,67.0,60.0
Madger Gomes,24,63,Crewe Alexandra,SUB,46.0,65.0,64.0,64.0,65.0,76.0,77.0,63.0,69.0,59.0,60.0,59.0,58.0,45.0,60.0,58.0,66.0,57.0
E. Boateng,27,65,New England Revolution,RES,55.0,63.0,65.0,55.0,63.0,90.0,90.0,67.0,55.0,71.0,57.0,38.0,57.0,46.0,49.0,38.0,65.0,41.0
G. Whelan,37,64,Bristol Rovers,SUB,64.0,65.0,62.0,64.0,63.0,31.0,34.0,64.0,34.0,67.0,59.0,64.0,60.0,64.0,66.0,65.0,64.0,66.0
S. Benchamma,21,63,Chamois Niortais Football Club,SUB,53.0,68.0,69.0,66.0,66.0,72.0,69.0,63.0,62.0,65.0,53.0,60.0,51.0,56.0,60.0,56.0,64.0,57.0
21 A. Diomande,30,69,Shijiazhuang Ever Bright F.C.,LM,45.0,59.0,65.0,43.0,68.0,78.0,74.0,72.0,67.0,86.0,63.0,33.0,68.0,66.0,20.0,16.0,69.0,27.0
M. Baturina,18,64,Dinamo Zagreb,RES,53.0,70.0,71.0,63.0,73.0,74.0,73.0,67.0,72.0,41.0,68.0,48.0,50.0,57.0,52.0,49.0,67.0,54.0
K. Jóźwiak,23,70,Derby County,SUB,66.0,64.0,74.0,58.0,68.0,90.0,90.0,60.0,72.0,68.0,45.0,33.0,65.0,52.0,44.0,35.0,71.0,47.0
J. George,28,68,SSV Jahn Regensburg,RES,62.0,66.0,73.0,42.0,71.0,80.0,70.0,77.0,72.0,70.0,63.0,21.0,67.0,67.0,21.0,22.0,69.0,35.0
C. Shaughnessy,25,64,Burton Albion,LCB,51.0,63.0,61.0,61.0,64.0,64.0,63.0,62.0,75.0,79.0,54.0,62.0,60.0,44.0,63.0,62.0,66.0,60.0
D. Wright,26,64,Hibernian,SUB,63.0,59.0,65.0,54.0,63.0,80.0,76.0,57.0,72.0,66.0,54.0,50.0,57.0,54.0,54.0,51.0,64.0,51.0
E. Rivière,31,67,Crotone,SUB,55.0,61.0,64.0,52.0,60.0,76.0,76.0,71.0,54.0,60.0,63.0,24.0,70.0,71.0,34.0,30.0,67.0,19.0
Fernando Andrade,28,69,Al Fayha,RES,65.0,70.0,69.0,67.0,68.0,69.0,70.0,75.0,65.0,75.0,66.0,13.0,70.0,61.0,20.0,18.0,70.0,30.0
Elber,29,70,Yokohama F. Marinos,RM,65.0,66.0,74.0,54.0,73.0,87.0,83.0,67.0,66.0,44.0,63.0,31.0,61.0,64.0,21.0,12.0,70.0,21.0
Zé Eduardo,29,63,Sandefjord Fotball,SUB,57.0,69.0,64.0,68.0,67.0,70.0,71.0,63.0,66.0,84.0,64.0,49.0,52.0,49.0,50.0,45.0,64.0,57.0
Bojan,30,71,Vissel Kobe,SUB,68.0,73.0,73.0,68.0,74.0,72.0,64.0,74.0,61.0,40.0,74.0,27.0,71.0,74.0,22.0,19.0,71.0,27.0
A. Bell,27,68,Luton Town,SUB,64.0,62.0,65.0,55.0,64.0,77.0,77.0,55.0,76.0,64.0,49.0,64.0,49.0,51.0,63.0,62.0,68.0,65.0
21 D. Iliev,31,67,,ST,56.0,70.0,68.0,64.0,68.0,57.0,70.0,66.0,62.0,78.0,54.0,49.0,68.0,72.0,26.0,28.0,67.0,34.0
20 L. Pérez,30,65,Club Necaxa,SUB,58.0,65.0,61.0,61.0,65.0,71.0,71.0,64.0,68.0,64.0,59.0,64.0,44.0,45.0,62.0,60.0,65.0,67.0
Borja Bastón,28,73,Real Oviedo,RS,52.0,69.0,62.0,54.0,75.0,38.0,51.0,84.0,65.0,90.0,71.0,23.0,76.0,72.0,32.0,24.0,73.0,44.0
Benito,25,70,Unión Deportiva Las Palmas,LB,64.0,67.0,70.0,63.0,69.0,83.0,86.0,72.0,63.0,68.0,70.0,24.0,65.0,51.0,34.0,30.0,70.0,33.0
Danilo,22,70,Ajax,SUB,44.0,66.0,72.0,44.0,74.0,75.0,77.0,67.0,72.0,65.0,66.0,15.0,69.0,66.0,16.0,13.0,72.0,21.0
E. Adu,30,67,Mjällby AIF,CM,56.0,70.0,67.0,71.0,71.0,59.0,38.0,52.0,71.0,58.0,49.0,67.0,56.0,56.0,68.0,63.0,67.0,65.0
N. Milenković,23,76,Fiorentina,RCB,66.0,68.0,60.0,66.0,68.0,68.0,65.0,60.0,76.0,85.0,54.0,76.0,22.0,34.0,78.0,77.0,78.0,77.0
K. Parks,23,69,New York City FC,LDM,60.0,71.0,69.0,68.0,73.0,38.0,32.0,68.0,71.0,74.0,59.0,67.0,69.0,54.0,66.0,62.0,71.0,58.0
Y. Dhanda,22,67,Swansea City,SUB,60.0,71.0,71.0,66.0,70.0,70.0,70.0,60.0,56.0,42.0,67.0,27.0,48.0,61.0,51.0,52.0,69.0,45.0
19 R. van der Vaart,35,67,Esbjerg fB,SUB,73.0,75.0,67.0,75.0,70.0,35.0,28.0,66.0,27.0,47.0,70.0,47.0,67.0,75.0,44.0,43.0,67.0,
T. Mitchell,21,71,Crystal Palace,LB,66.0,61.0,65.0,53.0,63.0,76.0,73.0,38.0,71.0,60.0,37.0,70.0,52.0,45.0,74.0,71.0,71.0,74.0
C. Missilou,28,62,Newport County,SUB,42.0,62.0,60.0,61.0,63.0,69.0,66.0,59.0,76.0,71.0,56.0,65.0,58.0,47.0,62.0,59.0,64.0,60.0
Chen Zhizhao,33,62,Guangzhou City,SUB,54.0,63.0,64.0,61.0,65.0,74.0,71.0,66.0,56.0,47.0,66.0,52.0,67.0,53.0,49.0,35.0,65.0,50.0
C. Gebauer,27,68,FC Ingolstadt 04,RM,62.0,64.0,66.0,52.0,67.0,86.0,79.0,63.0,77.0,69.0,58.0,55.0,66.0,52.0,49.0,39.0,68.0,44.0
19 Carlos Martínez,32,69,Real Oviedo,SUB,78.0,72.0,64.0,71.0,68.0,53.0,59.0,57.0,59.0,71.0,61.0,70.0,56.0,43.0,69.0,70.0,68.0,
L. Melano,28,69,Club Atlético Central Córdoba,SUB,61.0,63.0,70.0,61.0,69.0,82.0,80.0,70.0,70.0,70.0,62.0,24.0,68.0,56.0,31.0,28.0,69.0,34.0
B. Behrendt,29,69,Eintracht Braunschweig,RCB,43.0,65.0,33.0,71.0,51.0,54.0,75.0,84.0,63.0,78.0,71.0,69.0,42.0,54.0,69.0,71.0,69.0,65.0
M. Borgnino,23,66,Unión de Santa Fe,RW,55.0,65.0,70.0,64.0,71.0,82.0,83.0,72.0,66.0,65.0,57.0,23.0,51.0,54.0,24.0,23.0,67.0,35.0
J. Mellot,27,70,CD Tenerife,RB,62.0,64.0,64.0,58.0,65.0,78.0,79.0,55.0,91.0,71.0,33.0,64.0,52.0,35.0,64.0,63.0,70.0,64.0
S. Aluko,32,66,Ipswich Town,RES,63.0,63.0,72.0,57.0,72.0,76.0,74.0,67.0,36.0,49.0,62.0,31.0,63.0,68.0,41.0,35.0,67.0,43.0
20 F. Ceravolo,32,69,US Cremonese,RS,59.0,65.0,67.0,50.0,69.0,69.0,70.0,70.0,61.0,70.0,64.0,25.0,67.0,69.0,18.0,16.0,69.0,40.0
21 M. Yıldırım,33,66,Gençlerbirliği SK,LDM,56.0,70.0,65.0,65.0,68.0,50.0,65.0,62.0,68.0,70.0,63.0,58.0,66.0,41.0,68.0,57.0,66.0,64.0
A. Canobbio,22,69,Club Atlético Peñarol,RS,59.0,71.0,73.0,61.0,69.0,82.0,79.0,56.0,75.0,50.0,55.0,39.0,63.0,62.0,47.0,43.0,70.0,33.0
E. Friberg,35,66,BK Häcken,SUB,69.0,71.0,58.0,69.0,67.0,32.0,45.0,57.0,75.0,63.0,58.0,57.0,64.0,47.0,58.0,45.0,66.0,66.0
M. Leitgeb,33,68,RZ Pellets Wolfsberger AC,CDM,45.0,70.0,55.0,64.0,66.0,32.0,36.0,51.0,66.0,76.0,68.0,65.0,40.0,60.0,70.0,67.0,69.0,69.0
F. Escobar,26,68,Newell's Old Boys,SUB,58.0,63.0,68.0,60.0,65.0,69.0,72.0,51.0,70.0,66.0,37.0,63.0,54.0,49.0,70.0,68.0,68.0,65.0
21 A. Pérez,39,67,Club Independiente Santa Fe,LCM,56.0,67.0,58.0,63.0,65.0,42.0,40.0,57.0,60.0,77.0,59.0,66.0,58.0,59.0,66.0,62.0,67.0,65.0
Gustavo Lobateiro,21,72,Internacional,SUB,67.0,77.0,74.0,61.0,68.0,76.0,77.0,63.0,54.0,70.0,65.0,35.0,77.0,56.0,28.0,29.0,72.0,28.0
K. Wrzesiński,27,64,PGE FKS Stal Mielec,SUB,64.0,60.0,62.0,57.0,61.0,80.0,81.0,58.0,76.0,66.0,48.0,51.0,61.0,48.0,55.0,53.0,64.0,57.0
A. Mabil,25,69,FC Midtjylland,SUB,65.0,66.0,67.0,53.0,68.0,91.0,87.0,69.0,70.0,49.0,47.0,35.0,66.0,53.0,33.0,20.0,69.0,34.0
K. Appin,23,63,UD Ibiza,SUB,56.0,64.0,62.0,60.0,64.0,68.0,69.0,62.0,68.0,64.0,48.0,65.0,62.0,60.0,64.0,54.0,64.0,63.0
R. Kaib,24,66,SC Heerenveen,SUB,66.0,64.0,63.0,65.0,65.0,78.0,82.0,47.0,76.0,56.0,58.0,59.0,55.0,38.0,62.0,61.0,67.0,59.0
N. Freeman,25,64,Wycombe Wanderers,SUB,62.0,64.0,65.0,61.0,65.0,77.0,75.0,62.0,74.0,60.0,57.0,53.0,63.0,53.0,56.0,48.0,67.0,50.0
M. Antonsson,30,66,Halmstads BK,LS,52.0,63.0,64.0,54.0,61.0,75.0,81.0,66.0,84.0,73.0,58.0,29.0,67.0,62.0,39.0,35.0,66.0,29.0
G. Svensson,34,71,IFK Göteborg,LCM,49.0,68.0,64.0,68.0,66.0,39.0,34.0,66.0,81.0,80.0,47.0,68.0,50.0,45.0,73.0,72.0,71.0,67.0
M. Bottani,30,65,FC Lugano,RS,58.0,63.0,70.0,50.0,71.0,89.0,85.0,65.0,75.0,33.0,60.0,40.0,68.0,63.0,41.0,36.0,69.0,35.0
M. Pedersen,21,67,Feyenoord,RB,66.0,56.0,65.0,44.0,63.0,88.0,89.0,51.0,83.0,64.0,42.0,62.0,57.0,53.0,63.0,58.0,68.0,58.0
Marcinho,26,69,Kawasaki Frontale,LW,59.0,59.0,71.0,50.0,72.0,81.0,82.0,68.0,67.0,45.0,65.0,22.0,70.0,64.0,34.0,33.0,69.0,22.0
P. Köpke,25,69,1. FC Nürnberg,RES,65.0,67.0,69.0,49.0,70.0,77.0,74.0,74.0,64.0,65.0,64.0,23.0,68.0,65.0,21.0,18.0,71.0,42.0
G. Giakoumakis,26,74,Celtic,ST,36.0,58.0,68.0,35.0,69.0,66.0,73.0,78.0,71.0,82.0,64.0,17.0,72.0,74.0,24.0,19.0,76.0,27.0
P. Twumasi,27,69,Hannover 96,RES,65.0,67.0,70.0,65.0,70.0,80.0,75.0,77.0,65.0,55.0,60.0,25.0,69.0,61.0,23.0,22.0,69.0,41.0
D. Ayala,18,68,Estudiantes de La Plata,SUB,44.0,74.0,62.0,68.0,70.0,75.0,69.0,63.0,72.0,49.0,43.0,65.0,49.0,47.0,67.0,64.0,69.0,62.0
O. Wähling,21,64,VfL Osnabrück,SUB,63.0,67.0,67.0,63.0,64.0,71.0,66.0,65.0,65.0,65.0,69.0,35.0,55.0,55.0,37.0,44.0,66.0,38.0
A. Søderlund,33,68,FK Haugesund,SUB,53.0,60.0,63.0,53.0,66.0,55.0,58.0,75.0,68.0,82.0,66.0,44.0,71.0,65.0,31.0,23.0,68.0,38.0
F. Becker,21,68,FC St. Pauli,RCM,53.0,74.0,74.0,70.0,72.0,80.0,68.0,55.0,82.0,51.0,43.0,45.0,56.0,49.0,63.0,60.0,70.0,48.0
M. Youssouf,33,63,AC Ajaccio,RB,57.0,64.0,63.0,52.0,59.0,67.0,73.0,50.0,73.0,59.0,45.0,58.0,55.0,49.0,59.0,55.0,63.0,59.0
21 L. Conderia,27,69,,SUB,46.0,60.0,61.0,49.0,68.0,53.0,53.0,68.0,78.0,79.0,65.0,30.0,69.0,67.0,43.0,40.0,69.0,15.0
M. Poaty,23,65,Seraing,LWB,51.0,47.0,61.0,50.0,60.0,88.0,86.0,55.0,82.0,71.0,47.0,62.0,54.0,47.0,61.0,60.0,65.0,61.0
M. Engels,27,68,Sparta Rotterdam,SUB,58.0,66.0,68.0,57.0,67.0,79.0,83.0,67.0,65.0,64.0,62.0,23.0,67.0,71.0,19.0,20.0,68.0,32.0
T. Torun,31,69,Fatih Karagümrük S.K.,RES,70.0,69.0,72.0,66.0,68.0,70.0,73.0,66.0,66.0,62.0,66.0,31.0,65.0,56.0,20.0,15.0,69.0,25.0
F. Ronstadt,23,68,SV Darmstadt 98,SUB,69.0,59.0,64.0,56.0,64.0,73.0,80.0,60.0,69.0,69.0,30.0,60.0,44.0,37.0,65.0,67.0,68.0,61.0
21 D. Gravenberch,26,64,Sparta Rotterdam,SUB,46.0,59.0,61.0,42.0,63.0,64.0,75.0,76.0,45.0,89.0,62.0,62.0,59.0,58.0,62.0,56.0,65.0,54.0
P. Cutrone,23,73,Empoli,SUB,48.0,64.0,70.0,44.0,73.0,69.0,74.0,72.0,66.0,72.0,60.0,14.0,78.0,68.0,20.0,18.0,75.0,36.0
D. Whitehead,27,60,Port Vale,RES,55.0,61.0,60.0,60.0,60.0,66.0,67.0,64.0,75.0,61.0,60.0,53.0,58.0,51.0,53.0,49.0,61.0,54.0
E. Vera,29,65,Gallos Blancos de Querétaro,LB,65.0,64.0,63.0,62.0,64.0,73.0,71.0,62.0,76.0,57.0,50.0,59.0,55.0,62.0,63.0,61.0,65.0,65.0
Jorge Félix,29,69,Demir Grup Sivasspor,SUB,67.0,70.0,71.0,64.0,70.0,77.0,74.0,67.0,71.0,60.0,64.0,20.0,73.0,64.0,22.0,22.0,71.0,34.0
V. Sourlis,18,64,Olympiacos CFP,SUB,55.0,70.0,66.0,62.0,70.0,70.0,71.0,60.0,70.0,62.0,58.0,62.0,60.0,40.0,58.0,56.0,67.0,57.0
K. Karaman,27,71,Beşiktaş JK,SUB,67.0,70.0,77.0,62.0,73.0,70.0,66.0,73.0,67.0,74.0,68.0,22.0,71.0,56.0,24.0,18.0,72.0,24.0
21 J. Schryvers,23,67,Waasland-Beveren,RWB,62.0,65.0,57.0,65.0,64.0,70.0,66.0,53.0,74.0,64.0,46.0,66.0,49.0,38.0,65.0,62.0,67.0,65.0
Vallejo,24,75,Real Madrid CF,RES,41.0,71.0,57.0,72.0,69.0,66.0,70.0,49.0,48.0,72.0,31.0,77.0,34.0,45.0,75.0,74.0,77.0,78.0
Alberto Moreno,19,64,Atlético de Madrid,RES,53.0,69.0,66.0,66.0,68.0,72.0,67.0,61.0,56.0,53.0,58.0,57.0,58.0,64.0,56.0,52.0,67.0,47.0
21 A. Nkaka,24,66,SC Paderborn 07,SUB,47.0,63.0,60.0,62.0,62.0,72.0,67.0,75.0,70.0,69.0,45.0,67.0,54.0,43.0,64.0,62.0,68.0,67.0
S. Arab,20,64,Paris FC,SUB,54.0,62.0,70.0,52.0,68.0,75.0,74.0,70.0,78.0,59.0,63.0,44.0,60.0,53.0,40.0,43.0,67.0,48.0
M. Đuričin,28,67,FK Austria Wien,ST,43.0,59.0,66.0,54.0,68.0,85.0,79.0,68.0,63.0,71.0,64.0,31.0,68.0,70.0,16.0,22.0,67.0,24.0
21 J. Omolo,30,65,BB Erzurumspor,RDM,33.0,65.0,58.0,66.0,64.0,59.0,63.0,68.0,64.0,69.0,51.0,62.0,56.0,53.0,64.0,62.0,65.0,61.0
E. Embleton,22,63,Sunderland,CAM,52.0,64.0,62.0,62.0,63.0,73.0,71.0,62.0,66.0,53.0,61.0,49.0,62.0,51.0,53.0,52.0,65.0,53.0
21 E. Mangala,29,74,Valencia CF,SUB,53.0,58.0,46.0,56.0,52.0,55.0,63.0,67.0,56.0,88.0,48.0,71.0,39.0,48.0,77.0,76.0,74.0,70.0
S. Cáceres,21,74,Club América,SUB,52.0,65.0,52.0,60.0,65.0,78.0,74.0,60.0,75.0,80.0,32.0,75.0,22.0,51.0,77.0,72.0,76.0,75.0
Martín,25,75,Deportivo Alavés,SUB,77.0,75.0,66.0,50.0,74.0,69.0,63.0,47.0,73.0,62.0,35.0,70.0,62.0,38.0,78.0,77.0,75.0,72.0
M. Leitsch,23,72,VfL Bochum 1848,SUB,59.0,63.0,60.0,60.0,68.0,84.0,89.0,56.0,69.0,74.0,35.0,73.0,44.0,39.0,75.0,72.0,74.0,74.0
J. Dörfler,24,66,SC Paderborn 07,SUB,64.0,66.0,66.0,56.0,65.0,76.0,72.0,59.0,73.0,76.0,42.0,62.0,58.0,43.0,63.0,57.0,67.0,63.0
K. Leshabela,21,64,Shrewsbury Town,SUB,58.0,64.0,67.0,61.0,63.0,81.0,80.0,68.0,67.0,62.0,60.0,43.0,62.0,49.0,48.0,45.0,67.0,48.0
Aylton Boa Morte,27,70,Portimonense SC,RW,65.0,64.0,75.0,45.0,70.0,76.0,83.0,75.0,82.0,65.0,54.0,25.0,70.0,63.0,28.0,34.0,70.0,20.0
J. Delem,28,64,Seattle Sounders FC,RES,56.0,66.0,60.0,60.0,64.0,65.0,73.0,55.0,79.0,70.0,48.0,62.0,52.0,41.0,61.0,59.0,65.0,58.0
M. Costly,25,66,SV Waldhof Mannheim 07,SUB,65.0,62.0,70.0,41.0,66.0,84.0,86.0,59.0,90.0,67.0,46.0,60.0,52.0,38.0,57.0,56.0,68.0,53.0
N. Hämäläinen,24,67,LA Galaxy,LB,63.0,61.0,66.0,56.0,66.0,78.0,79.0,70.0,74.0,56.0,54.0,57.0,56.0,37.0,64.0,65.0,67.0,62.0
A. Walkes,24,67,Atlanta United,LCB,55.0,66.0,58.0,57.0,58.0,58.0,65.0,58.0,77.0,78.0,44.0,68.0,50.0,49.0,67.0,63.0,69.0,65.0
M. te Wierik,29,69,FC Groningen,RCB,61.0,63.0,59.0,63.0,65.0,43.0,61.0,60.0,73.0,75.0,53.0,74.0,52.0,42.0,66.0,65.0,69.0,70.0
D. Moreno,29,69,Junior FC,SUB,47.0,64.0,57.0,61.0,64.0,71.0,70.0,59.0,94.0,79.0,36.0,72.0,53.0,37.0,62.0,63.0,69.0,70.0
J. Bajandouh,28,65,Al Shabab,SUB,67.0,68.0,58.0,62.0,63.0,34.0,46.0,70.0,63.0,74.0,61.0,64.0,50.0,55.0,65.0,60.0,65.0,62.0
R. Corlu,22,66,Brøndby IF,SUB,59.0,63.0,66.0,54.0,65.0,86.0,80.0,62.0,62.0,57.0,59.0,23.0,64.0,49.0,28.0,30.0,68.0,25.0
21 D. Templeton,31,63,Hamilton Academical FC,SUB,62.0,60.0,68.0,53.0,64.0,70.0,77.0,64.0,61.0,61.0,60.0,48.0,65.0,58.0,46.0,42.0,65.0,42.0
J. Torunarigha,23,73,Hertha BSC,SUB,56.0,69.0,67.0,73.0,62.0,73.0,75.0,42.0,70.0,78.0,25.0,75.0,50.0,42.0,76.0,75.0,75.0,73.0
K. Gorré,26,69,Boavista FC,LW,64.0,63.0,71.0,50.0,70.0,75.0,83.0,72.0,66.0,67.0,68.0,36.0,64.0,58.0,36.0,33.0,69.0,27.0
A. Rufer,25,61,Wellington Phoenix,SUB,56.0,63.0,57.0,65.0,60.0,65.0,66.0,66.0,74.0,73.0,51.0,52.0,56.0,56.0,57.0,55.0,63.0,50.0
J. Þorsteinsson,22,70,Aarhus GF,LS,64.0,65.0,73.0,49.0,70.0,79.0,78.0,62.0,74.0,56.0,59.0,35.0,70.0,39.0,38.0,34.0,71.0,46.0
Y. Sarı,22,71,Trabzonspor,SUB,69.0,65.0,76.0,58.0,75.0,82.0,79.0,76.0,55.0,33.0,70.0,30.0,66.0,57.0,27.0,34.0,71.0,34.0
T. Nishimura,24,68,Vegalta Sendai,RS,61.0,63.0,66.0,63.0,65.0,81.0,80.0,69.0,78.0,72.0,60.0,18.0,70.0,62.0,44.0,37.0,70.0,21.0
I. Reyes,21,65,Puebla FC,RCB,49.0,64.0,60.0,63.0,64.0,62.0,69.0,60.0,53.0,58.0,47.0,67.0,58.0,72.0,68.0,65.0,67.0,65.0
21 A. Figuera,30,69,,CDM,45.0,68.0,59.0,70.0,60.0,69.0,66.0,61.0,77.0,59.0,49.0,74.0,44.0,55.0,66.0,67.0,69.0,72.0
